time_s,speed_m_s,rpm,steering_deg,distance_m,accel_m_s2,lateral_acc_m_s2,battery_pct,distance_front_m,event_code,manoeuvre,terrain_type,weather_condition,gps_lat,gps_lon
0.0,0.0,500.0,0.0,0.0,0.1667,0.0,100.0,50.0,1,acceleration,urban,clear,52.0,8.5
0.1,0.01667,503.334,0.029999980000004,0.001667,0.1667,2.910044081751733e-08,99.9999973953125,49.974995,1,acceleration,urban,clear,52.000000000868226,8.50000000086823
0.2,0.03334,506.668,0.05999984000012801,0.005001,0.16670000000000004,2.3280312475712543e-07,99.9999921859375,49.94999,1,acceleration,urban,clear,52.000000002604686,8.500000002604688
0.30000000000000004,0.050010000000000006,510.002,0.089999460000972,0.010002,0.1667,7.857082860246101e-07,99.999984371875,49.924985,1,acceleration,urban,clear,52.00000000520937,8.500000005209374
0.4,0.06668,513.336,0.11999872000409599,0.01667,0.16669999999999993,1.8624121409873663e-06,99.999973953125,49.89998,1,acceleration,urban,clear,52.00000000868229,8.500000008682292
0.5,0.08335,516.67,0.14999750001249998,0.025005,0.16670000000000004,3.637504879240754e-06,99.9999609296875,49.874975,1,acceleration,urban,clear,52.00000001302344,8.500000013023438
0.6000000000000001,0.10002000000000001,520.004,0.17999568003110394,0.035007,0.16670000000000004,6.285568654657122e-06,99.9999453015625,49.84997,1,acceleration,urban,clear,52.00000001823281,8.500000018232813
0.7000000000000001,0.11669,523.338,0.20999314006722772,0.046676,0.16669999999999996,9.981175576411692e-06,99.99992706875,49.824965,1,acceleration,urban,clear,52.00000002431042,8.500000024310417
0.8,0.13336,526.672,0.23998976013107123,0.060012,0.16669999999999996,1.4898885699979635e-05,99.99990623125,49.79996,1,acceleration,urban,clear,52.00000003125625,8.50000003125625
0.9,0.15003,530.006,0.2699854202361942,0.075015,0.1666999999999999,2.1213245018098406e-05,99.9998827890625,49.774955,1,acceleration,urban,clear,52.000000039070315,8.500000039070313
1.0,0.1667,533.34,0.2999800003999962,0.091685,0.16670000000000004,2.9098783451689786e-05,99.9998567421875,49.74995,1,acceleration,urban,clear,52.00000004775261,8.500000047752604
1.1,0.18337,536.674,0.3299733806441966,0.11002200000000001,0.16670000000000018,3.8730012840735714e-05,99.999828090625,49.724945,1,acceleration,urban,clear,52.000000057303126,8.500000057303126
1.2000000000000002,0.20004000000000002,540.008,0.3599654409953144,0.130026,0.1666999999999999,5.028142493510223e-05,99.999796834375,49.69994,1,acceleration,urban,clear,52.00000006772188,8.500000067721874
1.3,0.21670999999999999,543.342,0.38995606148514816,0.151697,0.1666999999999999,6.392748938530585e-05,99.9997629734375,49.674935,1,acceleration,urban,clear,52.000000079008856,8.500000079008855
1.4000000000000001,0.23338,546.676,0.4199451221512559,0.175035,0.16670000000000004,7.984265173321672e-05,99.9997265078125,49.64993,1,acceleration,urban,clear,52.00000009116406,8.500000091164063
1.5,0.25005,550.01,0.4499325030374349,0.20004,0.16670000000000004,9.820133140269239e-05,99.9996874375,49.624925,1,acceleration,urban,clear,52.0000001041875,8.5000001041875
1.6,0.26672,553.344,0.4799180841942018,0.226712,0.16670000000000018,0.00011917791969013743,99.9996457625,49.59992,1,acceleration,urban,clear,52.000000118079164,8.500000118079166
1.7000000000000002,0.28339000000000003,556.678,0.5099017456792718,0.255051,0.1666999999999999,0.0001429467777549821,99.9996014828125,49.574915,1,acceleration,urban,clear,52.00000013283906,8.500000132839062
1.8,0.30006,560.012,0.5398833675580388,0.28505700000000006,0.1666999999999999,0.0001696822346100752,99.9995545984375,49.54991,1,acceleration,urban,clear,52.00000014846719,8.500000148467187
1.9000000000000001,0.31673,563.346,0.5698628299040556,0.31673000000000007,0.1666999999999999,0.00019955858511198584,99.999505109375,49.524905,1,acceleration,urban,clear,52.000000164963545,8.500000164963541
